item,kind,registry,meta,description,hearts,hearts_vs_undead,hearts_vs_arthropod,attack_hp,base_attack_hp,damage_reduction_pct,armor_points,armor_icons,slot,durability,epf_all,epf_conditional,found in,variants,enchant_level,nbt
Silver Birch Sapling,Forestry genome,Forestry:sapling,0,"species treeBirch · traits: growthLightlevel, heightSmall, saplingsAverage, fruitNone, yieldLowest, plantTypeNone, sappinessLowest, territoryAverage, leavesNone, maturationFaster, i1d, fireproofFalse · unanalysed",,,,,,,,,,,,,chestgenhooks/naturalistChest,1,,"{IsAnalyzed:0b,Genome:{Chromosomes:[0:{Slot:0b,UID0:""forestry.treeBirch"",UID1:""forestry.treeBirch""},1:{Slot:1b,UID0:""forestry.growthLightlevel"",UID1:""forestry.growthLightlevel""},2:{Slot:2b,UID0:""forestry.heightSmall"",UID1:""forestry.heightSmall""},3:{Slot:3b,UID0:""forestry.saplingsAverage"",UID1:""forestry.saplingsAverage""},4:{Slot:4b,UID0:""forestry.fruitNone"",UID1:""forestry.fruitNone""},5:{Slot:5b,UID0:""forestry.yieldLowest"",UID1:""forestry.yieldLowest""},6:{Slot:6b,UID0:""forestry.plantTypeNone"",UID1:""forestry.plantTypeNone""},7:{Slot:7b,UID0:""forestry.sappinessLowest"",UID1:""forestry.sappinessLowest""},8:{Slot:8b,UID0:""forestry.territoryAverage"",UID1:""forestry.territoryAverage""},9:{Slot:9b,UID0:""forestry.leavesNone"",UID1:""forestry.leavesNone""},10:{Slot:10b,UID0:""forestry.maturationFaster"",UID1:""forestry.maturationFaster""},11:{Slot:11b,UID0:""forestry.i1d"",UID1:""forestry.i1d""},12:{Slot:12b,UID0:""forestry.fireproofFalse"",UID1:""forestry.fireproofFalse""}]}}"
Silver Lime Pollen,Forestry genome,Forestry:pollenFertile,0,"species treeLime · traits: growthLightlevel, heightSmall, saplingsLow, fruitNone, yieldLower, plantTypeNone, sappinessLower, territoryAverage, leavesNone, maturationAverage, i1d, fireproofFalse · unanalysed",,,,,,,,,,,,,chestgenhooks/naturalistChest,1,,"{IsAnalyzed:0b,Genome:{Chromosomes:[0:{Slot:0b,UID0:""forestry.treeLime"",UID1:""forestry.treeLime""},1:{Slot:1b,UID0:""forestry.growthLightlevel"",UID1:""forestry.growthLightlevel""},2:{Slot:2b,UID0:""forestry.heightSmall"",UID1:""forestry.heightSmall""},3:{Slot:3b,UID0:""forestry.saplingsLow"",UID1:""forestry.saplingsLow""},4:{Slot:4b,UID0:""forestry.fruitNone"",UID1:""forestry.fruitNone""},5:{Slot:5b,UID0:""forestry.yieldLower"",UID1:""forestry.yieldLower""},6:{Slot:6b,UID0:""forestry.plantTypeNone"",UID1:""forestry.plantTypeNone""},7:{Slot:7b,UID0:""forestry.sappinessLower"",UID1:""forestry.sappinessLower""},8:{Slot:8b,UID0:""forestry.territoryAverage"",UID1:""forestry.territoryAverage""},9:{Slot:9b,UID0:""forestry.leavesNone"",UID1:""forestry.leavesNone""},10:{Slot:10b,UID0:""forestry.maturationAverage"",UID1:""forestry.maturationAverage""},11:{Slot:11b,UID0:""forestry.i1d"",UID1:""forestry.i1d""},12:{Slot:12b,UID0:""forestry.fireproofFalse"",UID1:""forestry.fireproofFalse""}]}}"
Silver Lime Sapling,Forestry genome,Forestry:sapling,0,"species treeLime · traits: growthLightlevel, heightSmall, saplingsLow, fruitNone, yieldLower, plantTypeNone, sappinessLower, territoryAverage, leavesNone, maturationAverage, i1d, fireproofFalse · unanalysed",,,,,,,,,,,,,chestgenhooks/naturalistChest,1,,"{IsAnalyzed:0b,Genome:{Chromosomes:[0:{Slot:0b,UID0:""forestry.treeLime"",UID1:""forestry.treeLime""},1:{Slot:1b,UID0:""forestry.growthLightlevel"",UID1:""forestry.growthLightlevel""},2:{Slot:2b,UID0:""forestry.heightSmall"",UID1:""forestry.heightSmall""},3:{Slot:3b,UID0:""forestry.saplingsLow"",UID1:""forestry.saplingsLow""},4:{Slot:4b,UID0:""forestry.fruitNone"",UID1:""forestry.fruitNone""},5:{Slot:5b,UID0:""forestry.yieldLower"",UID1:""forestry.yieldLower""},6:{Slot:6b,UID0:""forestry.plantTypeNone"",UID1:""forestry.plantTypeNone""},7:{Slot:7b,UID0:""forestry.sappinessLower"",UID1:""forestry.sappinessLower""},8:{Slot:8b,UID0:""forestry.territoryAverage"",UID1:""forestry.territoryAverage""},9:{Slot:9b,UID0:""forestry.leavesNone"",UID1:""forestry.leavesNone""},10:{Slot:10b,UID0:""forestry.maturationAverage"",UID1:""forestry.maturationAverage""},11:{Slot:11b,UID0:""forestry.i1d"",UID1:""forestry.i1d""},12:{Slot:12b,UID0:""forestry.fireproofFalse"",UID1:""forestry.fireproofFalse""}]}}"
Steadfast Drone,Forestry genome,Forestry:beeDroneGE,0,"species speciesSteadfast · traits: speedSlower, lifespanNormal, fertilityNormal, toleranceNone, boolTrue, toleranceNone, boolFalse, boolTrue, flowersVanilla, floweringSlowest, territoryAverage, effectNone · unanalysed · health 40 / 40",,,,,,,,,,,,,chestgenhooks/dungeonChest,1,,"{MaxH:40,Health:40,IsAnalyzed:0b,Genome:{Chromosomes:[0:{Slot:0b,UID0:""forestry.speciesSteadfast"",UID1:""forestry.speciesSteadfast""},1:{Slot:1b,UID0:""forestry.speedSlower"",UID1:""forestry.speedSlower""},2:{Slot:2b,UID0:""forestry.lifespanNormal"",UID1:""forestry.lifespanNormal""},3:{Slot:3b,UID0:""forestry.fertilityNormal"",UID1:""forestry.fertilityNormal""},4:{Slot:4b,UID0:""forestry.toleranceNone"",UID1:""forestry.toleranceNone""},5:{Slot:5b,UID0:""forestry.boolTrue"",UID1:""forestry.boolTrue""},6:{Slot:7b,UID0:""forestry.toleranceNone"",UID1:""forestry.toleranceNone""},7:{Slot:8b,UID0:""forestry.boolFalse"",UID1:""forestry.boolFalse""},8:{Slot:9b,UID0:""forestry.boolTrue"",UID1:""forestry.boolTrue""},9:{Slot:10b,UID0:""forestry.flowersVanilla"",UID1:""forestry.flowersVanilla""},10:{Slot:11b,UID0:""forestry.floweringSlowest"",UID1:""forestry.floweringSlowest""},11:{Slot:12b,UID0:""forestry.territoryAverage"",UID1:""forestry.territoryAverage""},12:{Slot:13b,UID0:""forestry.effectNone"",UID1:""forestry.effectNone""}]}}"
Butchery Knife,GT tool,gregtech:gt.metatool.01,36,"enchanted: Sharpness II · built from head Steel, handle Wood · durability 51200",,,,,,,,,,,,,roguelike/TOOLS,1,,"{ench:[0:{id:16s,lvl:2s}],GT.ToolStats:{SecondaryMaterial:""Wood"",PrimaryMaterial:""Steel"",Mode:0b,MaxDamage:51200L}}"
Crowbar,GT tool,gregtech:gt.metatool.01,20,"enchanted: Sharpness II · built from head Steel, handle Wood · durability 51200",,,,,,,,,,,,,roguelike/TOOLS,1,,"{ench:[0:{id:16s,lvl:2s}],GT.ToolStats:{SecondaryMaterial:""Wood"",PrimaryMaterial:""Steel"",Mode:0b,MaxDamage:51200L}}"
File,GT tool,gregtech:gt.metatool.01,18,"enchanted: Sharpness II · built from head Steel, handle Wood · durability 51200",,,,,,,,,,,,,roguelike/TOOLS,1,,"{ench:[0:{id:16s,lvl:2s}],GT.ToolStats:{SecondaryMaterial:""Wood"",PrimaryMaterial:""Steel"",Mode:0b,MaxDamage:51200L}}"
Hammer,GT tool,gregtech:gt.metatool.01,12,"enchanted: Sharpness II · built from head Steel, handle Wood · durability 51200",,,,,,,,,,,,,roguelike/TOOLS,1,,"{ench:[0:{id:16s,lvl:2s}],GT.ToolStats:{SecondaryMaterial:""Wood"",PrimaryMaterial:""Steel"",Mode:0b,MaxDamage:51200L}}"
Knife,GT tool,gregtech:gt.metatool.01,34,"enchanted: Sharpness II · built from head Steel, handle Wood · durability 51200",,,,,,,,,,,,,roguelike/TOOLS,1,,"{ench:[0:{id:16s,lvl:2s}],GT.ToolStats:{SecondaryMaterial:""Wood"",PrimaryMaterial:""Steel"",Mode:0b,MaxDamage:51200L}}"
Mortar,GT tool,gregtech:gt.metatool.01,24,"enchanted: Sharpness II · built from head Steel, handle Wood · durability 51200",,,,,,,,,,,,,roguelike/TOOLS,1,,"{ench:[0:{id:16s,lvl:2s}],GT.ToolStats:{SecondaryMaterial:""Wood"",PrimaryMaterial:""Steel"",Mode:0b,MaxDamage:51200L}}"
Plunger,GT tool,gregtech:gt.metatool.01,44,"enchanted: Sharpness II · built from head Steel, handle Wood · durability 51200",,,,,,,,,,,,,roguelike/TOOLS,1,,"{ench:[0:{id:16s,lvl:2s}],GT.ToolStats:{SecondaryMaterial:""Wood"",PrimaryMaterial:""Steel"",Mode:0b,MaxDamage:51200L}}"
Prospector's Scanner (LV),GT tool,gregtech:gt.detrav.metatool.01,2,"built from head SteelMagnetic, handle Steel · durability 1300",,,,,,,,,,,,,roguelike/REWARD,1,,"{GT.ToolStats:{SecondaryMaterial:""Steel"",PrimaryMaterial:""SteelMagnetic"",Mode:0b,MaxDamage:1300L}}"
Rolling Pin,GT tool,gregtech:gt.metatool.01,46,"enchanted: Sharpness II · built from head Aluminium, handle Aluminium · durability 12800",,,,,,,,,,,,,roguelike/TOOLS,1,,"{ench:[0:{id:16s,lvl:2s}],GT.ToolStats:{SecondaryMaterial:""Aluminium"",PrimaryMaterial:""Aluminium"",Mode:0b,MaxDamage:12800L}}"
Saw,GT tool,gregtech:gt.metatool.01,10,"enchanted: Sharpness II · built from head Steel, handle Wood · durability 51200",,,,,,,,,,,,,roguelike/TOOLS,1,,"{ench:[0:{id:16s,lvl:2s}],GT.ToolStats:{SecondaryMaterial:""Wood"",PrimaryMaterial:""Steel"",Mode:0b,MaxDamage:51200L}}"
Screwdriver,GT tool,gregtech:gt.metatool.01,22,"enchanted: Sharpness II · built from head Steel, handle Wood · durability 51200",,,,,,,,,,,,,roguelike/TOOLS,1,,"{ench:[0:{id:16s,lvl:2s}],GT.ToolStats:{SecondaryMaterial:""Wood"",PrimaryMaterial:""Steel"",Mode:0b,MaxDamage:51200L}}"
Soft Mallet,GT tool,gregtech:gt.metatool.01,14,"enchanted: Knockback II · built from head Rubber, handle Wood · durability 25600",,,,,,,,,,,,,roguelike/TOOLS,1,,"{ench:[0:{id:19s,lvl:2s}],GT.ToolStats:{SecondaryMaterial:""Wood"",PrimaryMaterial:""Rubber"",Mode:0b,MaxDamage:25600L}}"
Wire Cutter,GT tool,gregtech:gt.metatool.01,26,"enchanted: Sharpness II · built from head Steel, handle Wood · durability 51200",,,,,,,,,,,,,roguelike/TOOLS,1,,"{ench:[0:{id:16s,lvl:2s}],GT.ToolStats:{SecondaryMaterial:""Wood"",PrimaryMaterial:""Steel"",Mode:0b,MaxDamage:51200L}}"
Wrench,GT tool,gregtech:gt.metatool.01,16,"enchanted: Sharpness II · built from head Steel, handle Wood · durability 51200",,,,,,,,,,,,,roguelike/TOOLS,1,,"{ench:[0:{id:16s,lvl:2s}],GT.ToolStats:{SecondaryMaterial:""Wood"",PrimaryMaterial:""Steel"",Mode:0b,MaxDamage:51200L}}"
Bronze Broadsword,Tinkers' tool,TConstruct:broadsword,0,"3.5 hearts (7 HP) · named ""Bronze Broadsword"" · built from head Bronze, handle Bronze, accessory Bronze · durability 427 / 427 · attack 7, mining speed 650, harvest level Redstone · reinforced 1",3.5,3.5,3.5,7.0,7.0,,,,,,,,"chestgenhooks/bonusChest, chestgenhooks/villageBlacksmith",1,,"{InfiTool:{Accessory:14,HarvestLevel:4,BaseDurability:427,Handle:14,Attack:7,Built:1b,Broken:0b,BaseAttack:7,ToolEXP:0L,Head:14,Shoddy:0.0f,RenderHandle:14,ModDurability:0.0f,RenderAccessory:14,MiningSpeed:650,Modifiers:0,Unbreaking:1,TotalDurability:427,RenderHead:14,BonusDurability:0,ToolLevel:1,Damage:0},display:{Name:""§fBronze Broadsword""}}"
