id,name,translation_key,max_level,weight,type
76,"Backstabbing","enchantment.wg.backstab",3,0,"weapon"
77,"Binding","enchantment.binding",2,1,"weapon"
78,"Night Vision","enchantment.nightVision",1,1,"armor_head"
79,"Disarming","enchantment.disarm",3,1,"weapon"
80,"Fuel Efficiency","enchantment.projectred.expansion.fuel_efficiency",4,1,"armor_torso"
81,"Throwoff","enchantment.wg.rideProtect",1,0,"armor_head"
82,"Soul Tethered","enchantment.wg.soulbound",1,0,"all"
98,"Elder Wisdom","enchantment.elderKnowledge",5,12,"weapon"
99,"Eldritch Bane","enchantment.eldritchBane",5,7,"weapon"
100,"Magic Touched","enchantment.magicTouch",3,11,"weapon"
101,"Tainted","enchantment.tainted",3,9,"weapon"
102,"Vaporising","enchantment.vaporising",3,6,"weapon"
103,"Holding","enchant.cofh.holding",4,2,"all"
104,"Multishot","enchant.cofh.multishot",4,5,"bow"
125,"Corrupting","enchantment.corrupting",1,1,"digger"
126,"Bash Weightless","enchantment.bash.weightless",3,5,"all"
127,"Bash Power","enchantment.bash.power",5,10,"all"
128,"Bash Damage","enchantment.bash.damage",3,1,"all"
129,"Shield Efficiency","enchantment.shield.usage",5,2,"all"
130,"Shield Recovery","enchantment.shield.recover",4,3,"all"
131,"Bow Luck","enchantment.bow.loot",1,2,"bow"
132,"Bow Drawnback","enchantment.bow.charge",1,1,"bow"
153,"Haste","enchantment.haste",3,3,"armor"
154,"Repair","enchantment.repair",2,2,"all"
160,"Agony","enchantment.SpecialMobs.painBow",3,0,"bow"
161,"Pain","enchantment.SpecialMobs.painSword",3,0,"weapon"
162,"Scourge","enchantment.SpecialMobs.plagueBow",3,0,"bow"
163,"Plague","enchantment.SpecialMobs.plagueSword",3,0,"weapon"
164,"Venom","enchantment.SpecialMobs.poisonBow",2,0,"bow"
165,"Poison Aspect","enchantment.SpecialMobs.poisonSword",1,0,"weapon"
166,"Dispersed Strike","enchantment.ttinkerer:dispersedStrike",5,0,"weapon"
167,"Shatter","enchantment.ttinkerer:shatter",5,0,"digger"
168,"Final Strike","enchantment.ttinkerer:finalStrike",5,0,"weapon"
169,"Focused Strike","enchantment.ttinkerer:focusedStrike",5,0,"weapon"
170,"Pounce","enchantment.ttinkerer:pounce",5,0,"armor_legs"
171,"Shockwave","enchantment.ttinkerer:shockwave",5,0,"armor_feet"
172,"Tunnel","enchantment.ttinkerer:tunnel",5,0,"digger"
173,"Valiance","enchantment.ttinkerer:valiance",5,0,"weapon"
180,"Reaper","enchantment.draconicevolution.reaperEnchant",5,2,"weapon"
190,"Wrecking","enchantment.railcraft.crowbar.wrecking",5,2,"digger"
191,"Implosion","enchantment.railcraft.crowbar.implosion",5,2,"digger"
192,"Destruction","enchantment.railcraft.crowbar.destruction",3,1,"digger"
196,"Reading","Reading",1,1,"armor_head"
197,"Eternal Compass","Eternal Compass",1,1,"all"
200,"Thaumic Sight","gadomancy.enchantment.revealer",1,1,"armor_head"
211,"Unstable","enchantment.openblocks.explosive",3,2,"armor"
212,"Last Stand","enchantment.openblocks.laststand",2,2,"armor"
213,"Flim Flam","enchantment.openblocks.flimflam",4,2,"all"
220,"Ascent Boost","enchantment.ttinkerer:ascentBoost",4,0,"armor_legs"
221,"Slow Fall","enchantment.ttinkerer:slowFall",3,0,"armor_feet"
222,"Flaming Touch","enchantment.ttinkerer:autoSmelt",1,0,"digger"
223,"Disintegrate","enchantment.ttinkerer:desintegrate",1,0,"digger"
224,"Quick Draw","enchantment.ttinkerer:quickDraw",2,0,"bow"
225,"Vampirism","enchantment.ttinkerer:vampirism",2,0,"weapon"
226,"Frost Walker","enchantment.frost_walker",2,1,"armor_feet"
227,"Mending","enchantment.mending",1,1,"breakable"
228,"Swift Sneak","enchantment.swift_sneak",3,1,"armor_legs"
